   Compiling mechanic-physics v0.1.0 (/Users/jens/repos/mechanic/crates/mechanic-physics)
    Finished `test` profile [optimized + debuginfo] target(s) in 1.43s
     Running unittests src/lib.rs (target/debug/deps/mechanic_physics-ced37d44e4e3378f)

running 1 test
event refinement dt=1.6666666666666666e-2 elapsed=0e0 hit=TerrainSweepHit { collider: 31, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.7349788693579988, separation: 2.220446049250313e-16 }
event refinement dt=4.417018844033352e-3 elapsed=1.2249647822633315e-2 hit=TerrainSweepHit { collider: 31, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.014506741450418423, separation: 0.0 }
event refinement dt=4.352942293681335e-3 elapsed=1.2313724372985332e-2 hit=TerrainSweepHit { collider: 31, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 7.587739931971731e-5, separation: 0.0 }
event refinement dt=4.352612003740701e-3 elapsed=1.2314054662925965e-2 hit=TerrainSweepHit { collider: 31, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 3.9111862139548005e-7, separation: 0.0 }
event refinement dt=4.352610301353095e-3 elapsed=1.2314056365313571e-2 hit=TerrainSweepHit { collider: 31, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 2.0159084283181497e-9, separation: 0.0 }
event refinement dt=8.333333333333333e-3 elapsed=0e0 hit=TerrainSweepHit { collider: 31, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.4752130014149786, separation: 2.7755575615628914e-16 }
event refinement dt=4.373224988208512e-3 elapsed=3.9601083451248215e-3 hit=TerrainSweepHit { collider: 31, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 0.004689546132819371, separation: -1.1102230246251565e-16 }
event refinement dt=4.3527165478771095e-3 elapsed=3.980616785456224e-3 hit=TerrainSweepHit { collider: 31, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 2.428543189811197e-5, separation: -5.551115123125783e-17 }
event refinement dt=4.352610840275814e-3 elapsed=3.980722493057519e-3 hit=TerrainSweepHit { collider: 31, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 1.2517551253981387e-7, separation: -5.551115123125783e-17 }
event refinement dt=4.352610295435521e-3 elapsed=3.980723037897812e-3 hit=TerrainSweepHit { collider: 31, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 6.451876237088417e-10, separation: -5.551115123125783e-17 }
event refinement dt=4.352610292627271e-3 elapsed=3.980723040706062e-3 hit=TerrainSweepHit { collider: 65, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 4.646607606933896e-11, separation: 5.551115123125783e-17 }
event refinement dt=4.352610292425022e-3 elapsed=3.980723040908311e-3 hit=TerrainSweepHit { collider: 5, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 1.4073993170882204e-7, separation: 2.220446049250313e-16 }
event refinement dt=4.352609679838947e-3 elapsed=3.9807236534943865e-3 hit=TerrainSweepHit { collider: 5, node: TerrainNodeId { coordinates: BrickCoord { x: -67108864, y: -67108864, z: -67108864 }, level: 27 }, triangle: 1, fraction: 1.1078000738962146e-9, separation: 2.220446049250313e-16 }
